CustomerID,AddressID,AddressType
1,17,Main Office
2,14,Main Office
3,405,Shipping
4,431,Home
5,420,Home
6,308,Shipping
7,172,Main Office
8,293,Shipping
9,124,Home
10,201,Main Office
11,316,Home
12,202,Main Office
13,411,Home
14,220,Main Office
15,326,Shipping
16,373,Main Office
17,207,Shipping
18,265,Main Office
19,224,Main Office
20,51,Home
21,411,Main Office
22,259,Main Office
23,324,Home
24,402,Shipping
25,432,Home
26,134,Home
27,82,Shipping
28,105,Main Office
29,48,Main Office
30,224,Main Office
31,322,Home
32,79,Main Office
33,317,Home
34,279,Main Office
35,293,Shipping
36,13,Home
37,376,Main Office
38,233,Home
39,324,Shipping
40,96,Main Office
41,335,Main Office
42,153,Main Office
43,275,Main Office
44,372,Shipping
45,395,Shipping
46,338,Main Office
47,141,Main Office
48,74,Home
49,12,Home
50,297,Main Office
51,57,Shipping
52,306,Main Office
53,55,Main Office
54,145,Shipping
55,93,Main Office
56,40,Shipping
57,433,Shipping
58,430,Main Office
59,201,Main Office
60,252,Main Office
61,212,Main Office
62,250,Home
63,40,Main Office
64,352,Shipping
65,193,Shipping
66,325,Shipping
67,414,Main Office
68,93,Shipping
69,6,Main Office
70,338,Home
71,324,Home
72,438,Main Office
73,61,Shipping
74,178,Shipping
75,315,Home
76,280,Main Office
77,82,Home
78,380,Shipping
79,63,Main Office
80,311,Main Office
81,275,Main Office
82,266,Home
83,390,Main Office
84,111,Shipping
85,59,Main Office
86,16,Shipping
87,71,Main Office
88,43,Home
89,355,Main Office
90,138,Shipping
91,247,Main Office
92,48,Shipping
93,363,Home
94,334,Shipping
95,240,Home
96,415,Shipping
97,224,Home
98,205,Main Office
99,129,Main Office
100,102,Home
101,434,Home
102,144,Shipping
103,53,Home
104,407,Home
105,160,Main Office
106,407,Main Office
107,370,Shipping
108,222,Shipping
109,217,Home
110,383,Shipping
111,418,Shipping
112,319,Main Office
113,311,Shipping
114,220,Main Office
115,291,Shipping
116,192,Home
117,420,Main Office
118,231,Main Office
119,18,Home
120,130,Home
121,210,Shipping
122,310,Home
123,272,Shipping
124,204,Main Office
125,59,Main Office
126,415,Shipping
127,220,Main Office
128,184,Main Office
129,38,Main Office
130,337,Shipping
131,191,Main Office
132,400,Shipping
133,63,Main Office
134,164,Home
135,6,Home
136,169,Main Office
137,239,Home
138,408,Shipping
139,120,Home
140,34,Shipping
141,146,Home
142,109,Home
143,112,Main Office
144,288,Shipping
145,367,Home
146,414,Home
147,39,Home
148,331,Shipping
149,350,Shipping
150,163,Shipping
151,102,Main Office
152,26,Shipping
153,256,Main Office
154,141,Shipping
155,62,Main Office
156,232,Main Office
157,308,Shipping
158,303,Shipping
159,122,Home
160,11,Shipping
161,10,Home
162,402,Home
163,3,Shipping
164,146,Main Office
165,431,Shipping
166,19,Home
167,271,Main Office
168,173,Home
169,9,Main Office
170,241,Main Office
171,425,Shipping
172,371,Shipping
173,141,Shipping
174,386,Shipping
175,205,Main Office
176,285,Shipping
177,253,Home
178,25,Shipping
179,153,Home
180,233,Shipping
181,435,Home
182,63,Shipping
183,317,Main Office
184,15,Main Office
185,25,Main Office
186,72,Main Office
187,166,Home
