ProductID,Name,ProductNumber,Color,StandardCost,ListPrice,Size,Weight,ProductCategoryID,ProductModelID,SellStartDate,SellEndDate,rowguid,ModifiedDate
1,Mountain-100,MO-6596,Black,2388.5886,3232.6041,52,24.59,41,,2026-09-03T11:32:30.450820,2026-09-03T11:32:30.450826,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450827
2,Mountain-200,MO-4245,Blue,1485.1297,3474.2046,S,,31,,2026-09-03T11:32:30.450837,2026-09-03T11:32:30.450838,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450839
3,Road-150,RO-8698,White,793.8115,1056.7965,S,1.09,15,,2026-09-03T11:32:30.450846,2026-09-03T11:32:30.450846,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450847
4,Road-250,RO-3168,Yellow,2969.8508,6910.6765,52,9.18,30,,2026-09-03T11:32:30.450853,2026-09-03T11:32:30.450853,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450854
5,Road-350,RO-4955,White,2092.3015,3308.7854,48,22.51,11,,2026-09-03T11:32:30.450859,2026-09-03T11:32:30.450860,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450861
6,Touring-1000,TO-1741,Red,2982.4316,6443.1646,48,22.81,33,,2026-09-03T11:32:30.450866,2026-09-03T11:32:30.450867,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450868
7,Touring-2000,TO-8138,Black,2223.389,4858.0118,L,18.23,37,,2026-09-03T11:32:30.450872,2026-09-03T11:32:30.450873,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450874
8,HL Mountain Frame,HL-1127,Yellow,255.9495,504.4669,,11.25,37,,2026-09-03T11:32:30.450879,2026-09-03T11:32:30.450879,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450880
9,ML Mountain Frame,ML-5576,,2168.9869,2876.0076,42,1.68,38,,2026-09-03T11:32:30.450885,2026-09-03T11:32:30.450885,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450886
10,LL Mountain Frame,LL-9326,,2692.4184,6479.1881,42,8.31,16,,2026-09-03T11:32:30.450891,2026-09-03T11:32:30.450892,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450892
11,HL Road Frame,HL-1687,,2860.7734,6947.584,XL,7.32,25,,2026-09-03T11:32:30.450897,2026-09-03T11:32:30.450898,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450898
12,ML Road Frame,ML-5666,Blue,302.9023,410.165,42,5.98,15,,2026-09-03T11:32:30.450903,2026-09-03T11:32:30.450903,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450904
13,Sport-100 Helmet,SP-5250,Yellow,868.9941,1893.9808,XL,3.95,18,,2026-09-03T11:32:30.450909,2026-09-03T11:32:30.450909,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450910
14,Classic Vest,CL-9334,,1658.7295,2354.58,S,13.73,17,,2026-09-03T11:32:30.450914,2026-09-03T11:32:30.450915,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450916
15,Short-Sleeve Jersey,SH-1422,Black,24.962,36.5464,52,13.26,34,,2026-09-03T11:32:30.450920,2026-09-03T11:32:30.450921,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450922
16,Long-Sleeve Jersey,LO-2795,White,888.35,1881.7197,M,11.09,21,,2026-09-03T11:32:30.450926,2026-09-03T11:32:30.450927,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450928
17,AWC Logo Cap,AW-3241,Black,265.1572,570.386,M,20.19,19,,2026-09-03T11:32:30.450932,2026-09-03T11:32:30.450933,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450934
18,Mountain Bike Socks,MO-6359,Blue,2183.448,4059.419,42,18.52,9,,2026-09-03T11:32:30.450938,2026-09-03T11:32:30.450939,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450940
19,Racing Socks,RA-6157,Red,2121.8954,3741.7311,48,,40,,2026-09-03T11:32:30.450944,2026-09-03T11:32:30.450945,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.450945
