ProductCategoryID,ParentProductCategoryID,Name,rowguid,ModifiedDate
1,,Bikes,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449708
2,,Components,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449721
3,,Clothing,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449723
4,,Accessories,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449724
5,1,Mountain Bikes,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449725
6,1,Road Bikes,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449726
7,1,Touring Bikes,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449728
8,2,Handlebars,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449729
9,2,Bottom Brackets,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449730
10,2,Brakes,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449731
11,2,Chains,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449732
12,2,Cranksets,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449733
13,2,Derailleurs,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449734
14,2,Forks,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449735
15,2,Headsets,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449736
16,2,Mountain Frames,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449737
17,2,Pedals,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449738
18,2,Road Frames,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449739
19,2,Saddles,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449740
20,2,Touring Frames,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449741
21,2,Wheels,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449742
22,3,Bib-Shorts,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449743
23,3,Caps,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449744
24,3,Gloves,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449745
25,3,Jerseys,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449746
26,3,Shorts,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449747
27,3,Socks,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449748
28,3,Tights,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449749
29,3,Vests,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449750
30,4,Bike Racks,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449751
31,4,Bike Stands,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449752
32,4,Bottles and Cages,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449753
33,4,Cleaners,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449753
34,4,Fenders,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449754
35,4,Helmets,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449755
36,4,Hydration Packs,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449756
37,4,Lights,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449757
38,4,Locks,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449758
39,4,Panniers,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449759
40,4,Pumps,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449760
41,4,Tires and Tubes,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.449761
