SalesOrderID,SalesOrderDetailID,OrderQty,ProductID,UnitPrice,UnitPriceDiscount,LineTotal,rowguid,ModifiedDate
71775,1,2,36,1906.2101,0.2,3049.9362,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470658
71775,2,7,16,1494.1483,0,10459.0381,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470671
71775,3,10,53,151.8003,0,1518.003,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470674
71776,4,4,16,1807.5245,0.15,6145.5833,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470679
71776,5,4,29,1526.6215,0,6106.486,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470682
71776,6,9,6,297.862,0,2680.758,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470684
71776,7,10,36,1121.0093,0.15,9528.579,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470687
71776,8,5,22,2263.7086,0.15,9620.7615,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470690
71777,9,5,10,503.9105,0.1,2267.5973,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470694
71777,10,5,52,3404.9966,0,17024.983,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470696
71777,11,2,24,2969.0468,0,5938.0936,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470699
71777,12,4,18,720.052,0.2,2304.1664,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470702
71777,13,8,21,1450.9266,0,11607.4128,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470704
71778,14,10,17,3302.6393,0.1,29723.7537,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470707
71778,15,5,26,999.0086,0.15,4245.7865,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470710
71778,16,1,7,1517.4791,0,1517.4791,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470713
71778,17,5,42,214.3751,0,1071.8755,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470715
71779,18,9,6,2837.2955,0.15,21705.3106,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470718
71780,19,4,33,541.2043,0,2164.8172,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470722
71780,20,5,1,1569.1169,0.2,6276.4676,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.470724
