SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,ShipToAddressID,BillToAddressID,ShipMethod,CreditCardApprovalCode,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
71775,3,2024-09-16,2024-09-28,2024-09-27,5,False,SO71775,PO11287,10-4020-000326,427,92,77,OVERNIGHT J-FAST,,14046.2274,1123.6982,280.9245,15450.8501,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452513
71776,1,2024-07-05,2024-07-21,2024-07-19,5,True,SO71776,PO36118,10-4020-000711,97,276,235,OVERNIGHT J-FAST,,14899.9892,1191.9991,297.9998,16389.9881,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452535
71777,8,2024-07-19,2024-08-14,2024-07-24,5,True,SO71777,PO55934,10-4020-000652,573,116,177,XRQ - TRUCK GROUND-,,963.5614,77.0849,19.2712,1059.9175,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452552
71778,5,2024-06-08,2024-06-24,2024-06-17,5,False,SO71778,PO58139,10-4020-000640,786,207,131,XRQ - TRUCK GROUND-,,13921.7985,1113.7439,278.436,15313.9784,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452702
71779,4,2025-03-05,2025-03-14,2025-03-17,5,True,SO71779,PO23497,10-4020-000749,222,144,92,OVERNIGHT J-FAST,,9641.9104,771.3528,192.8382,10606.1014,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452755
71780,7,2025-03-16,2025-04-02,2025-03-28,5,False,SO71780,PO90725,10-4020-000685,485,108,87,CARGO TRANSPORT 5,,1579.7158,126.3773,31.5943,1737.6874,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452798
71781,2,2024-09-27,2024-10-23,2024-10-02,5,True,SO71781,PO31603,10-4020-000487,1,166,40,CARGO TRANSPORT 5,,14836.854,1186.9483,296.7371,16320.5394,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452839
71782,8,2024-08-10,2024-08-30,2024-08-23,5,False,SO71782,PO52872,10-4020-000310,513,390,61,CARGO TRANSPORT 5,,7699.9937,615.9995,153.9999,8469.9931,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452875
71783,7,2025-03-14,2025-04-12,2025-03-24,5,False,SO71783,PO50863,10-4020-000535,325,272,41,XRQ - TRUCK GROUND-,,5929.0376,474.323,118.5808,6521.9414,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452890
71784,5,2024-09-18,2024-10-17,2024-09-23,5,False,SO71784,PO83464,10-4020-000453,502,356,404,OVERNIGHT J-FAST,,14332.6338,1146.6107,286.6527,15765.8972,,00000000-0000-0000-0000-000000000000,2026-09-03T11:32:30.452903
